<<<<<<< HEAD
NAME,M-ID,MEMBERSHIP PLAN
TURNER KIRBY,1,B
KENNA WISE,2,C
LIA HUNT,3,B
COREY GALINDA,4,A
CADEN AVALOS,5,A
NOLA BARNES,6,C
LAURA CONKLIN,7,A
ISABEL CONKLIN,8,C
JEREMIAH FISCHER,9,B
STEVEN CONKLIN,10,C
CONRAD FISCHER,11,B
MADDIE ZIEGLER,12,A
CHLOE LUKAISIAK,13,A
NIA SIOUX,14,C
BAILEY MCKNIGHT,15,C
KAMRI NOEL,16,B
=======
NAME,M-ID,MEMBERSHIP PLAN
TURNER KIRBY,1,B
KENNA WISE,2,C
LIA HUNT,3,B
COREY GALINDA,4,A
CADEN AVALOS,5,A
NOLA BARNES,6,C
LAURA CONKLIN,7,A
ISABEL CONKLIN,8,C
JEREMIAH FISCHER,9,B
STEVEN CONKLIN,10,C
CONRAD FISCHER,11,B
MADDIE ZIEGLER,12,A
CHLOE LUKAISIAK,13,A
NIA SIOUX,14,C
BAILEY MCKNIGHT,15,C
KAMRI NOEL,16,B
>>>>>>> 30f238981761de3abba095b74b12d706bf2db6e2
